S,I,R,D
60136497,57429,231914,35986
60134240,58903,232681,36002
60131563,60134,234099,36030
60127886,62576,235303,36061
60123428,65952,236363,36083
60118056,70110,237549,36111
60112332,74829,238525,36140
60106876,79075,239709,36166
60102257,82764,240600,36205
60096359,87193,242028,36246
60089027,92445,244065,36289
60080224,99266,245964,36372
60070215,107312,247872,36427
60059290,116935,249127,36474
60047585,126237,251461,36543
60038248,134003,252959,36616
60027377,142739,255005,36705
60012178,155442,257374,36832
59996100,169302,259456,36968
59976957,186002,261808,37059
59957317,203182,264117,37210
59936044,222241,266203,37338
59919037,236684,268626,37479
59897048,255090,271988,37700
59872060,276457,275404,37905
59845231,299191,279282,38122
59814152,325786,283567,38321
59782396,351386,289426,38618
59752491,378129,292380,38826
59730238,396512,296017,39059
59701997,418142,302275,39412
59671449,443235,307378,39764
59636947,472348,312339,40192
59599145,499118,322925,40638
59559336,532536,328891,41063
59526722,558636,335074,41394
59501453,573334,345289,41750
59466363,590110,363023,42330
59433402,613358,372113,42953
59395425,635054,387758,43589
59354523,663926,399238,44139
59317274,688435,411434,44683
59283297,712490,420810,45229
59255945,717784,442364,45733
59223754,733810,457798,46464
59189474,743168,481967,47217
59153298,761671,498987,47870
59116059,777176,520022,48569
59081295,791746,539524,49261
59052958,805947,553098,49823
59030031,796849,584493,50453
59006804,798386,605330,51306
58980952,791697,637149,52028
58951951,795845,661180,52850
58923609,787893,696647,53677
58897294,789308,720861,54363
58876648,795771,734503,54904
58860272,788471,757507,55576
58840925,779945,784595,56361
58820216,761230,823335,57045
58796997,759982,846809,58038
58772887,757702,872385,58852
58751835,754169,896308,59514
58732948,755306,913494,60078
58719269,748819,933132,60606
58704432,737525,958629,61240
58691677,710515,997895,61739
58674679,696527,1027994,62626
58655953,690323,1052163,63387
58636051,684848,1076891,64036
58618114,686031,1093161,64520
58606089,675109,1115617,65011
58591250,663313,1141406,65857
58573682,645706,1175901,66537
58555449,635343,1203814,67220
58540048,627798,1226086,67894
58523743,620166,1249470,68447
58508641,622760,1261626,68799
58497772,613582,1281258,69214
58484456,605955,1301573,69842
58470548,598816,1322067,70395
58452509,593632,1344785,70900
58433472,579886,1377109,71359
58423067,580941,1386198,71620
58414130,581760,1394011,71925
58405549,575221,1408686,72370
58394339,568728,1425730,73029
58378137,564395,1445690,73604
58354660,569896,1463111,74159
58332450,574767,1479988,74621
58320625,577062,1489154,74985
58306380,576214,1503900,75332
58295582,570458,1520106,75680
58280207,569161,1536129,76329
58259881,568712,1556356,76877
58241465,571055,1572015,77291
58223936,570389,1589590,77911
58203960,572842,1606630,78394
58185335,579932,1617804,78755
58172805,575979,1633839,79203
58158563,570040,1653404,79819
58142790,564774,1673936,80326
58125547,561380,1694051,80848
58109403,558068,1713030,81325
58093093,557717,1729216,81800
58080549,553374,1745726,82177
58071724,547059,1760489,82554
58061228,535524,1781917,83157
58047660,523553,1806932,83681
58033605,516568,1827451,84202
58019972,502053,1855127,84674
58006641,498834,1871189,85162
57995013,499278,1882074,85461
57986454,491630,1897861,85881
57975870,482417,1917117,86422
57960679,477969,1936289,86889
57946319,474617,1953509,87381
57932756,467824,1973388,87858
57920043,463352,1990152,88279
57908794,453968,2010548,88516
57900869,447589,2024523,88845
57891218,437765,2043499,89344
57878036,434722,2059248,89820
57864380,430277,2076928,90241
57850167,429118,2091923,90618
57836728,427034,2107061,91003
57825088,427024,2118441,91273
57817119,419604,2133523,91580
57806507,413967,2149350,92002
57793560,410111,2165817,92338
57778423,405019,2185655,92729
57764530,402174,2202077,93045
57751007,401413,2216050,93356
57739947,402783,2225519,93577
57732603,398098,2237290,93835
57722235,393686,2251734,94171
57710169,388864,2268253,94540
57696414,384501,2286024,94887
57680944,382448,2303199,95235
57666030,384623,2315687,95486
57652580,388895,2324633,95718
57642963,387903,2334968,95992
57629664,387948,2347866,96348
57613262,389433,2362465,96666
57593391,396143,2375318,96974
57572903,404664,2387032,97227
57554001,411966,2398352,97507
